ID,Description,Is_Response
76,Sekarang saldo dari transaksi yang dibatalkan masuk ke saldo DANA dan untuk mencairkan dana ke rekening harus menggunakan aplikasi DANA. Menurut saya ini tidak praktis dan terkesan berbelit2. Belum lagi Aplikasi DANA Hanya memberikan 10x gratis tarik tunai selebihnya akan terkena biaya admin penarikan. Hal ini bisa menjadikan pembeli untuk berfikir 2x untuk berbelanja. dikarenakan akan ada kemungkinan mereka sulit untuk menarik kembali uang hasil pembatalan transaksi,not happy
77,jangan install Bukalapak karena uang refund nanti nya di masukkan ke DANA. kalo mau cairkan uang nya harus instal aplikasi DANA. Aplikasi DANA sangat tidak bertanggung jawab. bagi yg mau install Bukalapak dan DANA wajib baca ulasan bintang 1 nya dulu ya supaya tidak menyesal seperti saya. uang saya dari refund Bukalapak di masukkan ke DANA dan sampai 20 mrt 2019 tidak bisa dicairkan alias diblokir tanpa alasan yg jelas. Ribet dan bertele-tele. ingat ya BACA bintang 1 nya dulu kalo mau instal,not happy
78,"Tanggal 1 maret 2019 sy melakukan pengisian top up saldo namun keliru memasukan nominal top up dari yang seharusnya Rp.1.001.509 tapi hanya Rp.1.000.000 maka transaksi top up gagal namun transferan ke no.rekening bukalapak sudah berhasil senilai Rp.1.000.000,...Maka saya membuka bantuan dan mengisi form & mengirim bukti transferan namun sampai tanggal 11 maret 2019. baik top saldo maupun email tanggapan dari pihak buka lapak tidak ada. Uang saya buat pengisian tidak jelas statusnya",not happy
79,Bintangnya harusnya kosong. Kalau pelapaknya yang bermasalah sih dimaklumi ya ini Bukalapak nya yang bermasalah  masa iya sudah transfer  ada buktinya pun sistem Bukalapak nya bilang Menunggu Pembayaran. disuruh nunggu 1x24jam eh malah order an nya dinyatakan kadarluwarsa uang saya melayang kemana? Padahal ada buktinya. Sampai 1x24 jam pun tidak ada jawaban,not happy
80,sekarang buka dompet nya gak bisa di gunakan lgi buat pembayaran virtual trus bilang nya bisa di top up ke DANA minimal 10000 padahal saldo saya lebih dari 10000 tapi tetep aja gak bisa mana udah capek ngumpulin tapi gak bisa di pake. mending ikut uninstall aja ini aplikasi mana barang dan ongkir nya mahal beda sama aplikasi sebelah yang jauh lebih murah dan ongkir nya jauh banget bahkan bisa sampe  100.000 lebih untuk p. sumatra jasa nya sama aja padahal barang sama jenis nya sama juga,not happy
81,pengembalian dana setalah serbu seru tanggal 13 maret lambat tidak seperti biasa dan kenapa pengembalian dari samsung galaxy s10 harus sandal jepit? walaupun jelas di gambar ada tulisan dan gambar sandal jepit tapi tidak seharusnya seperti itu. ini sama saja menghina pembeli. barang 14jt yang di hargai 12.000 saat penyerbu tidak terpilih malah dikasih sandal. mohon penjelasannya,not happy
82,sale nya kurang ajar deh. jadi kalo mau ikut setelah pilih barang harus transfer tapi kalo dah bayar belom tentu dapet. janjinya kalo g dapet di balikin uangnya tapi uang yg di balikin berkurang 100 rupiah kecil sih tapi banyak yg ikut kan. di tambah lagi uang yg di balikin g bisa di masukin ke tabungan kita jadi terpaksa harus di pake begitu mau di pake Harus download aplikasi dana dulu dan bikin akun lagi kan jadi ribet,not happy
83,aplikasi yang banyak permainan nya dengan kode voucher yg menarik. tapi waktu dipakai error padahal masih pagi jam 7 lewat dicoba terus gak bisa setelah itu jam 9 sudah habis kuotanya begitu terus tiap hari. tidak tahu benar atau tidak penawaran menariknya jangan2 cuma tipuan belaka,not happy
84,Ribet cairin uangnya. Ikut serbu bukaemas refund dana dalam bentuk saldo emas giliran dijual kena potongan jadinya refundnya gak dapat 12.000. Kalau 1 orang kena potongan Rp 500 dikali 1juta orang jadi Rp 500 juta. Ke mana tuh uang ? Saldo di bukadompet gak bisa dicairin dengan alasan saldo minimal. Kalo seandainya 12 ribu dikali 1 juta orang yang mempunyai saldo minimal dan tidak bisa dicairkan total uang 12 milyar jadi uang bingung,not happy
85,ku akan tambah lagi bintangnya kalo sudah mendapatkan verifikasi akun karna selalu gagal meverifikasi akun Dana tidak bisa di buat dan di minta kode otp pun jawabnya sudah kedaluarsa Jadi saldo saya yang ada di buka dompet tidak dapat digunakan Alias mubazir karna setiap mau transaksi selalu diminta untuk memverifikasi akun jawabnya kode verifikasi sudah dikirim ke nomor. Tapi buktinya tidak ada Sungguh sangat kcewa,not happy
86,apa apaan ini? aplikasi sama developernya udah gj ya. mulai ongkir pengiriman yg gak sesuai sama di agen pengiriman. terus dari akun yg gak bisa ganti nomor. padahal mau transfer pulsa. tapi malah sekarang di alihin ke akun dana. sedangkan nomor saya di akun dana nomor yg baru. udah kirim 2x laporan masalah soal gak bisa ganti nomor malah di kacangin. mas developer tidur ya? kalau gak percaya liat di username nugroho dwi ananta. saya masih percaya buka lapak meskipun ada gerakan uninstal kemaren,not happy
87,promo serba 12ribu terus di ikutin tanpa sadar uang di dana mulai habis. bilangnya sih di kembalikan ke dompet tunai atau dana setelah saya telusuri uang saya masuk di budget push up tanpa persetujuan sama sekali. jadi itu tujuannya di buat promo serba 12000 biar orang d paksa pake itu budget push up. gak bisa di cairkan pula lagi tuh uangnya di budget push up,not happy
88,BL makin ngaco nih. Saya merasa dana saya belum direfund penuh dari BL dlm serbu seru. Top up dana saya Rp 200.000 tidak tercatat di histori dana saya di BL. Selain itu setelah balada sandal jepit sekarang BL maksa sepihak dana pelanggan dioper ke promoted push. Pelanggaran ketentuan BL sendiri dimana BL menyatakan akan mengembalikan dana sepenuhnya ke dana bila gagal dalam serbu seru. Ternyata sekarang ada balada promoted push. Beeh ide gk bener sama sekali. Curangi & membohongi pelanggan,not happy
89,update terbaru  tambah Lemot! banyak Fitur pake javascript loading jadi ter mehek2 para Programmer BL bekerja di lingkungan kantor yg notabene pake akses internet kencang (Fiber Optic) sementara Pengguna BL dominan pake 35G/4G yang relatif masih terbatas kecepatan maksimal internet nya.. alhasil semua Fitur di BL jadi mubazir yang ada Lemot alias beban Loading jadi berat,not happy
90,kenapa susah sekali saya mencari barang yg di inginkan dan melakukan transaksi loading nya lama sekali kadang lebih daripada 30 menit padahal kuota internet baru isi.. sudah bertahun2 saya menggunakan aplikasi ini tp baru kali ini saya mengalami kesulitan seperti ini di aplikasi toko sebelah saya tidak ada masalah mencari barang dan melakukan trx kalau pesanan saya sudah tiba dan aplikasi nya masih seperti ini mohon maaf saya harus pindah ke lain hati,not happy
91,Berak sekebon gua udah bertahun thun pake aplikasi ini baru sekarang kecewa. RIBET TRANSAKSI YG DULU BISA PAKAI BUKA DOMPET SKRG PAKAI DANA.dan aplikasi DANA banyak yg mengeluhkan banyak masalah! verifiksi ribet foto ktp dan wajah skrg verifikasi gagal trs karna WAJAH di ktp dan skrg BEDA! JELAS BEDA wajah dahulu dan skrg!!! Tolong kembalikan transaksi dengan BUKADOMPET saja gak usah pakai aplikasi DANA,not happy
92,saat melakukan pencarian barang muncul tulisan tidak ada koneksi dan gagal  padahal di home normal pilih barang yang muncul di home juga bisa tapi saat melakukan pencarian tidak ada koneksi. di cek ntn youtube jga lancar apa yang harus saya lakukan,not happy
93,Aplikasi tai ini bukalapak makin hari apps nya makin kacau pencairan dana dari buka dompet jumlah xxxx langsung dapat email permintaan pencairan di terima pencairan butuh waktu 1x24 jam hingga 2hari uang belum masuk rekening minta bukabantuan sudah di ajukan klik kirim apps nya eror ngak bisa di kirim permohonon kompalain pencairan buka dompet. coba buka WA resmi g ada respon sama sekali lantas ke manakah kami harus mengajukan komplain yg terlalu berbelit belit???? sedangkan apps BUKALAPAK EROR,not happy
94,sebaiknya sempurnakan aplikasi pembatalan pesanan. karena jika pelanggan ad ksalahan transaksi dan melakukan permintaan pembatalan harus menunggu keputusan pelapak dan tetap diproses jika pelapak menolak permintaan pembatalan. jadi kesannya aplikasi memihak ke pelapak saja. sebaiknya contoh shopee bisa langsung dibatalkan jika pesanan belum diproses atau dikirim pelapak,not happy
95,Buklpk makin mengecewakan. 1. Lemot dan makin byak error 2. Bukadompet diganti dana 3. Pncairan uang lwt dana tidak ada pilihan bank 4. Pnrikan lwt gerai dibatasi jmlahny dg skema yg berbelit2. Intinya : tuh duit duit saya hasil penjualan. Kenapa mau ngambil aja dibikin ribet bin ruwet. Dosa km tuh buklpk,not happy
96,Sejak saldo di alihkan ke DANA ko jadi repot mau cairain duit. tolong ya jangan bikin susah konsumen uang pembelian saya gagal. lalu dimasukan ke DANA mau diambil kok dibikin susah. lebih baik kembalikan ke buka dompet. saya nggak butuh app dana,not happy
97,Akhir2 ini belanja di Bukalapak sangat susah bahkan untuk checkout barang sangat lama tiap buka page transaksi ataupun mau transfer sangat lama keluar page nya dam selalu muat ulang sampai saya mau chat si seller juga nggak kekirim padahal koneksi internet saya bagu,not happy
98,saya kecewa bnget dngan aplikasi ini.saya coba ikut undian serbu hasilnya mleset tp maslahnya uang saya gak di kembalikan malah di ganti sandal jepit. saya sangat kecewa dgn aplikasi ini. saya gak ikhlas uang saya di ganti dgn sandal jepit. klo trus2an menipu kyak gni. jgan harap aplikasi ini maju,not happy
99,nah gini dong min kan sama2 enak orang yg ikut serbu seru juga ga pada kesel kalo dananya dikembalikan dalam bntuk saldo buka dompet jgn di kembalikan dengan bentuk barang yg belum tentu semua orang suka ya sekalipun di ganti barang setidaknya para penyer,not happy
100,proses komplain sekarang terlalu berbelit belit gak kayak dulu. Barang belum diterima tapi nunggu dikonfirmasi 1×24 jam dan gak ada solusi lanjutan. Bagi saya sekarang Buka lapak kurang melindungi customers dan kebanyakan nyari untung doang. Aplikasi yg sekarang loadingnya lama,not happy
101,Aplikasi PENIPU. Yg blm download gak usah download. Masa uang serbu seru gak di refund malah diganti sandal jepit. Dicancel gak bisa. Katanya uang dikembalikan 100%. DASAR PENIPU. Kirain sy aja pas liat review lain ternyata byk yg kena TIPU jg. CURANG!! UNINSTALL AJA SEKARANG,not happy
102,Kecewa dengan bukalapak duit sdh dibalikin karena lama diproses sama penjual krena terlambat input no resi tau2nya udh dikrm aja brgnya sama penjual. Jadi mesti transfer manual ke penjualnya memangnya itu dibolehin sama bukalapak? Kalau misalnya pembeli tidak mau bayar maka akan ditindak sama BL tapi kalau mau komplain soal brgnya tidak sesuai bagaimana,not happy
103,Akun saya dinonaktifkan tdk tahu apa sebabnya sampai skrg tidak bisa login pakai no hp sendiri pakai aplikasi Messenger jg tidak direspon pakai gmail jg tdk ada jawaban bagaimana ini? saya masih punya dana di buka dana dan buka dompet tp tdk bisa transaksi.Mohon infonya,not happy
104,Ternyata saldo tdak bisa di satukan dana ke buka dompet atau sebalik ny. Harap di perbaiki team buka lapak agar aplikasi lbih ok. Saya berharap saldo dana buka dompet dan crediit bisa menjadi 1 ntuk metode pembayaran. Udah di update malah makin buruk,not happy
105,dana refund serbu serunya lama di balikin jadi gak bisa ikutan di sesi berikutnya jadi malas gua nungguin nya. terus udah serbu Banyak toh juga gak pernah dapat meleset semua setelah di update makin lama balik dana refundnya.. Bukalapak tolong di perbaiki lah dana refundnya agar cepat di bal. Ulasan Lengkapdana refund serbu serunya lama di balikin jadi gak bisa ikutan di sesi berikutnya.. jadi malas gua nungguin nya.. terus udah serbu Banyak toh juga gak pernah dapat.. meleset semua setelah di update makin lama balik dana refundnya. Bukalapak tolong di perbaiki lah dana refundnya agar cepat di balikin,not happy
106,Maaf min kok saya ga pernah beli bukareksa tapi tau2 beli otomatis sama sistem emng sih refund tapi refundnya ke credits nanti tau2 hilang aja credits kasusnya sama kaya refund serbu credits ilang begitu aja padahal ga transaksi apapun tau2 ilang meskipun sedikit tapi jangan gitu caranya cari uang masih enakkan marketplace sebelah,not happy
107,setelah update saya mengalami kendala. selalu tidak bisa mencari barang dengan keterangan koneksi buruk. saya keluar dari aplikasi BL dan buka aplikasi lain berjalan dengan normal bahkan game online pun tak bermasalah dengan koneksi (game online butuh jaringan stabil). tolong penjelasannya admin,not happy
108,Kecewa saya isi saldo Dana Rp 50 rb. Terus saya ikutan acara SerbuSeru. Disitu perjanjian nya kalo kita tidak terpilih Dana akan dikembalikan. Tapi nyatanya saya ikut pertama kali aku belanjain semua saldoku dan aku kurang beruntung. Tapi Dana nya yg kembali cuma 46 rb aku coba lagi ikut dan kembali lagi Dana yg dikembalikan cuma 36 rb. Mohon penjelasan nya,not happy
109,verifikasi data pribadi brapa lama ya? keterangannya 1 sampai 5 hari kerja tapi sudah sebulan saya input foto diri dan ktp masih saja di sruh tunggu dgn ketrangan 1 sampai 5 hari kerja. apa 1 hari kerja di bukalapak itu sama dengan 1 bulan ya? Payah,not happy
110,2 transkaksi pakai gojek grab same day dana balik kepembeli padahal barang sudah dikirim p3mbeli dichat brang dah sampe tapi status transaksi malah dana balik komplen ke CS harus cek dlu cek dlu apa harus di iklasin dana 850 rbu makin kesini makin ga nyaman jualan di BL dana sering balik ke pembeli penanganan kasus lama selesainya,not happy
111,hati hati banyak kebijakan bukalapak yang gak masuk akal contoh nya saya beli barang warna biru di kirim item saya minta ganti barang malah saya yang harus nanggung ongkir padahal udah jelas kan yang salah pengirim nya malah minta lagi ongkir. Sial,not happy
112,ternyata bukalapak memberikan respon mengenai refund sendal jepitalhamdulillah uang refundnya dibalikin di buka dompet (Rp 12.000+Rp 2.000+2 sendal jepit)terima kasih bukalapaksukses selalu dan tuk konsumen lain silakan memberikan bintang 5 buat kesuksesan bukalapak dan UMKM indonesia,not happy
113,Buka lapak makin lama makin lemot.!! untuk upload gambar nya gagal terus knp sehh ane pengen jualan jdi ga bisa bisa bikin kesel banget makin lama.!! Kalo kaya gini trs gw bakal hapus nehh aplikasi,not happy
114,tolong perbaiki akun saya dulu nanti saya jadikan lima bintang masa beberapa hari yang lalu bisa transaksi tiba2 sekarang tidak bisa sya juga tidak bisa konfirmasi barang kasihan pelapaknya ditambah saya harus log in log in kemanaaaaaa? tolong tambah fitur chat langsung dan tlp dg operator biar tidak ribet menghubungi pihak bukalapak trimakasih,not happy
115,saldo si dompet dari pengembalian dana tidak bisa di pakai. kalau mau ikutan serbu harus pake virtual acount. padahal saldo di dompet masih ada. dan kalau mau ikutan serbu harus transfer ulang lagi .tambah repot,not happy
116,"Bukalapak itu toko online yang bersahabat buat konsumen buat persaudaraan karena banyak kejutan banyak surprise dan barang yang di jual itu pasti berkualitas yang bisa di percaya.  go go go Bukalapak terus berjaya thank, akan tetapi ngeselin saldo bukalapak saya makin berkurang karena ikut serbu uang ada yang tidak dikembalikan payah nggak jelas banget",not happy
117,dari kemaren malem buka app cuma loading2 aja kirain karna belum di update tapi setelah di update sama aja malah bilang kalau koneksi internet gak ada nyoba buka app lain jalan normal biasa dan ada internet.kalau sampai besok masih kaya gini sih ya terpaksa uninstall.lha gak bisa dibuat buka apa2.isinya cuma bunderan kecil yg muter2 terus,not happy
118,Refund nya ke BukaDompet dong! supaya bisa ditarik atau utk ikutan lagi. dana saya 48 ribu masa mau dibalikin sandal jepit semua? kalau ada aturan baru kasih pop up notifikasi spy customer bisa ambil keputusan mau ikut atau tidak! waktu awal promo serbu seru di 1212 Desember 2018 refund nya ke BukaDompet kenapa tiba-tiba sekarang jadi ada alternatif refund ke BukaEmas BukaMart dan Budget Promoted Push. JANGAN AMBIL KEPUTUSAN SENDIRI DONG! BALIKIN SALDO BUKALAPAK SAYA SUPAYA BISA SAYA TARIK,not happy
119,dana dr serbu yg meleset knp masuk nya ke bukamart dah gitu otomatis dibelanjakan ke barang yg gak saya pilih yaitu sandal jepit emang nya pihak pelapak atau apk tau ukuran sandal buat saya hahaha. padahal saya sudah batalkan krn saya gak butuh sandal itu tp kenapa pembatalan di tolak berarti ni pemaksaan sepihak. knp mengecewakan pembeli,not happy
120,saldo saya Rp.18.000 setelah mengikuti undian serbu beberapa kali saldo saya memang dikembalikan.tapi sekarang saldo saya tinggal 4000.memang bukan uang yg banyak tp jika dikalikan ribuan orang yang seperti saya maka nominalnya sangat besar yang sudah ditilep oleh bukalapak.saldo juga susah dicairkan.aplikasi yg mengecewakan karna programnya adalah penipuan. uninstallbukalapak,not happy
121,"Dear Bukalapak udah sekitar 3 hari ini (dari saya buat tulisan ini) app bukalapak error. sebelumnya lancar gda masalah.. cuma kemarin terjadi erro dgn ket kurang lebih ""anda harus log in dulu atau periksa konekai jaringan"" padahal sudah jelas posisi saya sudah log in dengan akun saya. saya ga pernah log out sebelum²nya saya pikir ini masalah app yg harus di update setelah di update tidak ada perubahan. masih tetap error. untuk bukalapak tolong segera menyelesaikan masalah terkait. Thks",not happy
122,Saya ikut serbu seru dan gak pernah dapet. beberapa kali klik beli emas ternyata uangnya gak direfund melainkan masuk program Buka Emas yang syarat pencairannya harus beli emas dlu.. Hedeh.. Ternyata banyak yg merasa tertipu spt sya,not happy
123,aplikasi kampret mau ngubah nomor DANA gak bisa Mau tarik saldo DANA gak bisa juga di suruh upgrade melulu padahal sudah download aplikasi terbaru DANA niat gak sih ni bikin aplikasi? klo niat jangan bikin aplikasi kacang gini dong!! jancookk!,not happy
124,Bukalapak dulunya memang bagus tapi sekarang gara-gara buka dompet di alihkan ke bukadana membuat semua transaksi jual pulsa pulsa listrik & bayar listrik jadi prosesnya lama. saya isi pulsa pelanggan pun jadi lama terisinya dan banyak yang datang komplain ke saya gara-gara pulsanya belum masuk karna proses yang lama dari bukadana. selain itu juga ketika saya MENAMBAH SALDO BUKADANA yang ada saldo BUKADANA milik akun saya butuh 20 menit sampai 2 jam baru terisi. SAYA LEBIH SUKA BUKADOMPET,not happy
125,Saya kecewa sama aplikasi Bukalapak masa uang saya setengah juta di pindahin di dana padahal dananya itu belim di kasih nomor apapun eh tiba2 malah yang di taro nomor kadaluarsa bukan yang di kaitkan sama Bukalapak kecewa berat saya tolong di perbaiki supaya tidak ada kejadian ini,not happy
126, Respon komplain dari cs bukalapak lambat. Saya support bukalapak karena komitmen ceo nya untuk menjadikan bukalapak startup anak bangsa. Tapi kalo kualitas customer supportnya kayak gini ya gimana pengguna mau support! Apa harus ikut2an tagar yang sempet jadi TT?,not happy
127,saya kecewa sama Bukalapak kenapa dana saya tidak refund padahal saya ikut serbu seru dana saya dari yg 34000 tinggal sisa 5000 padahal Bukalapak selalu jadi prioritas saya kalo belanja online dan utk ini saya kecewa sekali,not happy
128,pengembalian dana serbu seru lambat dan dana banyak yg berkurang. tidak sesuai dengan yg dijanjikan. skrg buka lapak udah jadi tukang jual sendal jepit. janganlah mengecewakan pelanggan. online shop banyak. kalau caranya gini semua pada kabur ke online shop yg lain. TQ bisnis yg licik,not happy
129,hari jumat tgl 14 maret saya order tanpa login (quick buyer) gigi pengantar starter klx s uang sudah saya transfer + ongkir katanya 3 hari barang sampai tapi sekarang barangnya blm saya terima bukti transfernya ada,not happy
130,semakin di update ternyata semkin tidak singkron dengan browser dan BL. padahal sebelumnya jika ketemu barang di browser langsung bisa terarah otomatis ke app BL tanpa melalui Playstore. sekarang malah mengarah ke Playstore terus & setelah klik buka/update ternyata di app BL hanya tampilan menu Home bukan langsung mengarah pada barang yang di temukn di browser tadi,not happy
131, Kenapa saya mau buka menu transaksi selalu ada notif harus masukan akun dulu.Padahal akun saya sudah masuk. Saya tidak bisa melihat barang yang sudah saya beli atau melihat sudah sampai mana barang saya. Tolong perbaiki aplikasinya. Karena ini aplikasi lama lama sudah menjekelkan,not happy
132,Duit gw 1x dulu di makan Bukalapak 500 ribu lebiheh sekarang yang ke 2 saya mau narik 240 ribuan lebih akun malah di bekukan. sy komplain eh bukan nya di tanggapin ato di respon malah di biarin aja. Hebat...sekali apliksi ini,not happy
133,di kurangi .. cuma kasih 1 bintang. sekarang mengecewa kn. .. di serbu seru credit smpe sisa rp 120 tadi nya ada 4800 krna ikut serbu seru tak di kbalikan ke saldo ataw ke credit menang terpilih belum. koin daily giftbox di kumpul kumpulin abis karena serbu seru janji di kbalikan sampe sekarang tidak ada sampe abis. terus pake cara transfer BRI 15ribu tidak terpilih di serbu seru sampe sekarang tidak di kembali kan. cina penipu licik. KECEWA BESAR,not happy
134,"KECEWA BANGET bukan cuman kuota yg ilang tapi uang juga. udah di transfer di alfamart terdekat ada bukti struk nya juga tapi blm ada konfirmasi barang udah d bayar sts nya masih menunggu di bayaran. komplen ke bl nya di suruh nunggu 24 jam batas barang harus d bayar nya juga ga sampe 24 jam. btw makasih bukalapak uang jajan ane yg susah payah di kumpul"" see you ntah ke mna",not happy
135,gimana nih bukadompet katanya pindah ke dana. tapi kelebihan transaksi (kode pembayaran) masuk nya ke bukadompet. mau beli emas juga begitu. klo pakai bukadompet bisa beli emas nominal 600 dengan Dana harus 10.000. klo Dana enggak sama dengan Bukadompet balikin aja ke bukadompet kagak usah pakai Dana nyusahin yang punya akun,not happy
136,tolong aplikasi di perbaiki...udh download aplikasinya tp g bisa upload barang dagangan lewat aplikasi...udh laporan sama CS malah di suruh upload pake komputer dan lewat website...apa gunanya saya download aplikasi ini ? sudah lama masalah ini g di bener benerin...tolong lah biar saya mudah jualannya saya udh beli paket push dan berlangganan premium akun tp kalau masalah ini g fix fix gimana mau jualan terima kasih,not happy
137,woyyy BL kampret! lu punya tim creative bocah semua kali yak? bangke. klo bikin inovasi yang bner ngapa. g usah aneh2 lu. cek transaksi klik menu nego g bisa dibilang harus log in dlu. oi BL kampret akun BL w itu slalu log in g prnah di log out. ini w cri menu log in aja g ada adanya log out. brarti kan akun w msh log in. bangke lu. kalo punya tim jgn rekrut bocah labil makannya. biar g error aplikasi lu. ksni2 mkin parah BL g jlas,not happy
138,"sorry bintang nya aku hapus 2setelah di updatemalah berat buka aplikasi inisekedar cari barang aja loading nya lama bangetujung2nya muncul tulisan ""periksa jaringan internet anda ""pdhal aku pake telkomsel. dlm sebulan ini aja aku gk pernah lagi belanja di bukalapakbarang yg aku cari gagal kebuka selalu jaringan error",not happy
